# Generated by init-performance-registry-images.sh (2026-05-01T20:43:48Z)
# tag (POPULAR_IMAGES_REFERENCE): latest
# REG_HOST=cr.selcloud.ru  REG_PREFIX=cr.selcloud.ru/riid
# merge: first 30 repository rows from images_list.sizes.tsv, Java overrides on positional mismatch
# Columns: docker_hub_repository<TAB>riid_repository (path for configured registry host)
library/hello-seattle	riid/hello-seattle
library/hola-mundo	riid/hola-mundo
library/cirros	riid/cirros
library/jobber	riid/jobber
library/photon	riid/photon
library/api-firewall	riid/api-firewall
library/eggdrop	riid/eggdrop
library/hitch	riid/hitch
library/spiped	riid/spiped
library/express-gateway	riid/express-gateway
library/thrift	riid/thrift
library/alt	riid/alt
library/hylang	riid/hylang
library/irssi	riid/irssi
library/unit	riid/unit
library/euleros	riid/euleros
# library/clefos — not mirrored (no linux/amd64 manifest on Docker Hub)
library/krakend	riid/krakend
library/neurodebian	riid/neurodebian
library/almalinux	riid/almalinux
library/clearlinux	riid/clearlinux
library/sl	riid/sl
library/fluentd	riid/fluentd
library/celery	riid/celery
library/rapidoid	riid/rapidoid
library/satosa	riid/satosa
library/swipl	riid/swipl
library/mageia	riid/mageia
library/emqx	riid/emqx
library/liquibase	riid/liquibase
