# Generated by init-performance-registry-images.sh (2026-05-01T23:00:27Z)
# tag (POPULAR_IMAGES_REFERENCE): latest
# REG_HOST=cr.selcloud.ru  REG_PREFIX=cr.selcloud.ru/riid
# merge: images_list.sizes.tsv ∪ Java library/*; skip: clefos + REGISTRY_MIRROR_SKIP; в таблице только успешно зеркалированные (см. unsuccessfule_downloads.txt)
# Columns: docker_hub_repository<TAB>riid_registry_path<TAB>reference (tag on mirror)
library/hello-world	riid/hello-world	latest
percona/percona-xtradb-cluster-operator	riid/percona/percona-xtradb-cluster-operator	1.19.1-community-bundle
rancher/mirrored-pause	riid/rancher/mirrored-pause	3.9
library/busybox	riid/busybox	latest
v2tec/watchtower	riid/v2tec/watchtower	latest
library/alpine	riid/alpine	latest
containrrr/watchtower	riid/containrrr/watchtower	latest
curlimages/curl	riid/curlimages/curl	latest
cfcommunity/slack-notification-resource	riid/cfcommunity/slack-notification-resource	latest
prom/node-exporter	riid/prom/node-exporter	latest
stakater/reloader	riid/stakater/reloader	merge-1138-ubi
library/registry	riid/registry	latest
istio/operator	riid/istio/operator	1.23.6-distroless
bitnami/sealed-secrets-controller	riid/bitnami/sealed-secrets-controller	latest
library/ubuntu	riid/ubuntu	latest
google/cadvisor	riid/google/cadvisor	latest
library/memcached	riid/memcached	latest
newrelic/nri-kube-events	riid/newrelic/nri-kube-events	latest
amazon/amazon-ecs-agent	riid/amazon/amazon-ecs-agent	latest
presearch/node	riid/presearch/node	latest
pivotalcf/pivnet-resource	riid/pivotalcf/pivnet-resource	latest
library/httpd	riid/httpd	latest
openpolicyagent/gatekeeper	riid/openpolicyagent/gatekeeper	dev
linuxserver/nzbget	riid/linuxserver/nzbget	latest
grafana/loki	riid/grafana/loki	main-d8f4d0f
fluent/fluent-bit	riid/fluent/fluent-bit	latest
library/debian	riid/debian	trixie-backports
bitnami/redis	riid/bitnami/redis	latest
portainer/agent	riid/portainer/agent	alpine-sts
amazon/cloudwatch-agent	riid/amazon/cloudwatch-agent	latest
library/redis	riid/redis	latest
newrelic/newrelic-fluentbit-output	riid/newrelic/newrelic-fluentbit-output	latest
library/amazonlinux	riid/amazonlinux	latest
linuxserver/tautulli	riid/linuxserver/tautulli	latest
amazon/aws-xray-daemon	riid/amazon/aws-xray-daemon	latest
portainer/portainer-ce	riid/portainer/portainer-ce	alpine-sts
library/consul	riid/consul	1.15.4
nginxinc/nginx-unprivileged	riid/nginxinc/nginx-unprivileged	alpine3.23-perl
library/nginx	riid/nginx	trixie-perl
timberio/vector	riid/timberio/vector	nightly-distroless-libc
grafana/promtail	riid/grafana/promtail	latest
kope/protokube	riid/kope/protokube	latest
newrelic/nri-kubernetes	riid/newrelic/nri-kubernetes	latest
calico/node	riid/calico/node	v3.33.0-0.dev-472-gcef2f47bb759
istio/pilot	riid/istio/pilot	1.30.0-beta.0
library/centos	riid/centos	centos7.9.2009
bitnami/kubectl	riid/bitnami/kubectl	latest
linuxserver/jackett	riid/linuxserver/jackett	latest
ljfranklin/terraform-resource	riid/ljfranklin/terraform-resource	latest
calico/cni	riid/calico/cni	v3.32.0-8-gd0234d1e790f
dynatrace/oneagent	riid/dynatrace/oneagent	latest
portainer/portainer	riid/portainer/portainer	latest
linuxserver/sonarr	riid/linuxserver/sonarr	latest
istio/proxyv2	riid/istio/proxyv2	1.30.0-beta.0
linuxserver/radarr	riid/linuxserver/radarr	6.2.0-nightly
seabreeze/dumpsettingsandenvvariables	riid/seabreeze/dumpsettingsandenvvariables	linuxv4
library/mariadb	riid/mariadb	lts-ubi9
gitlab/gitlab-runner	riid/gitlab/gitlab-runner	bleeding
library/influxdb	riid/influxdb	latest
moby/buildkit	riid/moby/buildkit	latest
bitnami/mariadb	riid/bitnami/mariadb	latest
library/rabbitmq	riid/rabbitmq	latest
linuxserver/ombi	riid/linuxserver/ombi	latest
bitnami/postgresql	riid/bitnami/postgresql	latest
fluent/fluentd-kubernetes-daemonset	riid/fluent/fluentd-kubernetes-daemonset	v1.19-debian-kafka-arm64-1
kong/kong-gateway	riid/kong/kong-gateway	3.14.0.2-20260428-rhel-fips
amazon/aws-cli	riid/amazon/aws-cli	latest
amazon/aws-for-fluent-bit	riid/amazon/aws-for-fluent-bit	latest
library/docker	riid/docker	latest
prom/prometheus	riid/prom/prometheus	latest
library/tomcat	riid/tomcat	jre25-temurin-noble
library/postgres	riid/postgres	latest
linuxserver/plex	riid/linuxserver/plex	latest
envoyproxy/envoy	riid/envoyproxy/envoy	tools-dev-2a8d390f8395e065f19d1dbb74657b8bc59cf030
amazon/aws-efs-csi-driver	riid/amazon/aws-efs-csi-driver	master
library/php	riid/php	8.4.21RC1-zts-trixie
newrelic/infrastructure-bundle	riid/newrelic/infrastructure-bundle	latest
library/wordpress	riid/wordpress	php8.5-fpm
library/mysql	riid/mysql	latest
jenkins/jenkins	riid/jenkins/jenkins	latest
bitnami/mongodb	riid/bitnami/mongodb	latest
library/golang	riid/golang	latest
grafana/grafana	riid/grafana/grafana	latest
library/node	riid/node	latest
library/python	riid/python	latest
library/ruby	riid/ruby	latest
library/nextcloud	riid/nextcloud	latest
grafana/grafana-image-renderer	riid/grafana/grafana-image-renderer	latest
rancher/rancher-agent	riid/rancher/rancher-agent	head
library/elasticsearch	riid/elasticsearch	9.3.4
library/sonarqube	riid/sonarqube	latest
library/hello-seattle	riid/hello-seattle	latest
library/hola-mundo	riid/hola-mundo	latest
library/cirros	riid/cirros	latest
library/jobber	riid/jobber	latest
library/photon	riid/photon	latest
library/api-firewall	riid/api-firewall	latest
library/eggdrop	riid/eggdrop	latest
