# Dataset Top-20 2026 — what the AGENT-117/118/119/120 bench matrix pulls (20 images).
# Rows and their order come from performance/input/filter.tsv: ChimangoScanTop150 sorted by
# loaded_rank (pull_count * size_bytes), ranks 1-20, linux/amd64; a rank with no amd64 manifest
# is dropped and backfilled from the next one (15, 16, 20 out; 21-23 in).
# size_bytes / resolved_at / amd64_digest: Docker Hub as scanned at resolved_at.
# mirror_repository / mirror_digest: what cr.selcloud.ru served at capture time — mirroring
# re-wraps the manifest, so mirror_digest is not comparable to amd64_digest.
loaded_rank	repository	tag	size_bytes	size_human	resolved_at	amd64_digest	mirror_repository	mirror_digest
1	datasense/datasense	0c579488240e543a8670057d01985195	5817415348	5.4 GiB	2026-08-28T12:38:01Z	sha256:2ed8357829633ffb94b9a36b040f8b2a5e11c31050f8b333964060c8c67d4b7a	riid/datasense/datasense	sha256:2966a33c3b7287c70406311e921a52456259959a0f60502644c1954335f67dfc
2	library/python	latest	414967043	395.7 MiB	2026-08-28T12:38:01Z	sha256:779838536f5a0d42d150edbf59fcb08af24fd21b3dd6af7f308dbadcbb6ff3cc	riid/python	sha256:556b78a10795a2708a76ad74ba4cbfb555a12d709f6a27b2d6c744b44ef0b939
3	datadog/agent	latest	283360337	270.2 MiB	2026-08-28T12:38:01Z	sha256:00fe77d6f4e3572444de5d72676e8160ff4aa876d35f6c23b48bd1796cee57d8	riid/datadog/agent	sha256:b8f2b552be52d3de4774648fcd462f58381b8d3fd92e969446816bbd65f7f104
4	library/node	latest	443273684	422.7 MiB	2026-08-28T12:38:01Z	sha256:3779eb08da9114e6957b0c42a84a9471167c47e0d5fdb73ea8e8559a26789556	riid/node	sha256:453d0b883f0324ec30ea518bdbaeedca1a1f6452f3ee397ea451bef6c9212962
5	grafana/grafana	latest	474088374	452.1 MiB	2026-08-28T12:38:01Z	sha256:95a8098fb092130e111b0264a9be4d3a2bd5405e5dba88d4b8f1f630b389614e	riid/grafana/grafana	sha256:29b694ff546f5e212e56a323a2d92977f8d1e3cc3afa0746263a5f412b190c5c
6	library/postgres	latest	162433831	154.9 MiB	2026-08-28T12:38:01Z	sha256:7341002d2b8c7c5bdd7542a671a95b36196c0b5b888daf454ae4fc33ba5346d7	riid/postgres	sha256:e040f078b07c92e62e3e0499cf9279fb543833a290b26d96bccc47d9ecc0689e
7	library/mongo	latest	336700841	321.1 MiB	2026-08-28T12:38:01Z	sha256:41afd6e1183f57e4e4d03ab733070671fca8553da2b36f15d6e3fc9760494d17	riid/mongo	sha256:6efc8aab99b39ae88c412dca25eab084cd68a312ca952e1d5df79658d83ae8f0
8	seabreeze/sbz-helloworld	1.1-alpine	7889631	7.5 MiB	2026-08-28T12:38:01Z	sha256:7128117b707d2645ef4a05b3f26d37ecf400e32ce97f0ff9a6c6b120409777b6	riid/seabreeze/sbz-helloworld	sha256:81e6498670a93655b790a2774844c71e49416a353cb14f7ae19c16e56e8dd19c
9	library/mysql	latest	272333489	259.7 MiB	2026-08-28T12:38:01Z	sha256:973c5e8e4d2f12ecc3da9ca9d8d4189b6a7e3d17584c66fca6dae6993c0417ed	riid/mysql	sha256:2054d45dc8703b6879657f51cb9186f6aeb456ea924d1091c1238028078452ab
10	library/sonarqube	latest	1082973542	1.0 GiB	2026-08-28T12:38:01Z	sha256:4152a10d90904b97a29e82c964f7eba0c6d587ca118a0320e7dfdaf5d1a99760	riid/sonarqube	sha256:4e756a6c7fd13b248352a9ce8467ca60d518c405e16b74e111eee20f116226aa
