repository	tag	version	size_bytes	size_human	amd64_digest	loaded_bytes
datasense/datasense	0c579488240e543a8670057d01985195	null	5817415348	5.4 GiB	sha256:2ed8357829633ffb94b9a36b040f8b2a5e11c31050f8b333964060c8c67d4b7a	8162540863349210792
ollama/ollama	latest	0.33.1	3383237334	3.2 GiB	sha256:317a9773ab450c6aa5c51797d12548ff39129abbaea64debc16f8f1b564027b7	570747198719292360
runmymind/docker-android-sdk	latest	null	3311662847	3.1 GiB	sha256:f3b5fccf439d719aae091a2165199081fc22891f1593097a98abbe69618536d5	185856503148404529
jupyter/all-spark-notebook	latest	null	2150171723	2.0 GiB	sha256:9f84a5eb9e7454e7a440a5487d5eb1e8c8c8da452f0bb03d441bec5e06781f16	161647175116708344
bugswarm/artifacts	dnanexus-dx-toolkit-104692324	null	2071945945	1.9 GiB	sha256:7dca705d2a2c50a9e65ba4713e78a2843728fdc3a9221d98c7e5ae02b186c666	343069755524777070
jetbrains/youtrack	2026.2.18687	2026.2.18687	2033042919	1.9 GiB	sha256:451d86e076b5f494d1b423cd5bb572248f86355414ce0251d486aed6bfc21291	151461248163014901
neondatabase/neon	latest	8464	1882172622	1.8 GiB	sha256:ead56a7b33925ca4df9f1ee0d29f55fa25e165a3fee6a4f19055050c68e8cad0	307313131429135524
jetbrains/teamcity-server	latest	2026.1.3	1880258835	1.8 GiB	sha256:e62c922b94edbef8536bb0d514a193a38bd480fd3855fdac7a649e0a5f8a550a	150581138004837540
splunk/splunk	latest	10.4.2	1827641949	1.7 GiB	sha256:f97629abda2ad188ff1448a085db9a7cebe15cefdec7d78aa9366b7f8cc145f0	170017710035570229
pksrelengci/ci-runner	1.6.x	1.6.x	1520172852	1.4 GiB	sha256:199fb945ef5d4fcf7f74bf5e2bb27bc4cc7e4647bec4624d31a84fe0eb263ee6	163343260065529104
gitlab/gitlab-ce	latest	19.3.1-ce.0	1448796905	1.3 GiB	sha256:b431dcb56dbc1387182717c75fd8b581c2cbb09062cc6290098bbafd85343573	560241726687067965
haxqer/jira	latest	9.12.1	1399501613	1.3 GiB	sha256:d973c5346d61b20302ee2e7709b219119214e9c438f82433482c7fda9f795d0b	146475171029920553
onlyoffice/documentserver	latest	9.4.0.1	1399067062	1.3 GiB	sha256:e231bc62da8c1f0c1f78188f8c7e17e67716f38955d0ad1d703cf911ad6db84b	141489658242226908
cimg/python	3.10-browsers	3.10.21-browsers	1326450727	1.2 GiB	sha256:535903d57399f85032e20da26c1602f6a514a591de83468195c2ab2880985d52	561146335577962141
google/cloud-sdk	latest	582.0.0	1265949693	1.2 GiB	sha256:2e480d7977829f1534665da1fffd98170f5345d0a6322b369b0fe08a932ce574	577020456204107859
cimg/ruby	3.3-browsers	3.3.12-browsers	1262264648	1.2 GiB	sha256:0f7f4770acef81d233e722cb8053bf61906a68ab176ef0e04aa084893d3cffc6	516590367872842736
browserless/chrome	latest	null	1245399867	1.2 GiB	sha256:3678a24595187a3916dc45b800c4fe962832b581227bbef193ae6f0ec5fbc14d	218604697414946442
sysdig/agent	latest	14.7.4	1158182467	1.1 GiB	sha256:65d9d3619001fae1911967fd61b0229a06015eb98d99f422573f41275c0d9b28	423773115853841650
circleci/ruby	2.6-node-browsers-legacy	2.6.9	1145946567	1.1 GiB	sha256:dc61725164a057896c26232a02f5b7233fd3d1bb355eed3e18214229fd62cdea	427858213610592045
opensearchproject/opensearch	latest	3.8.0	1136671079	1.1 GiB	sha256:39a8f8c63028e8b5d6b70539af1d0339b15a6729002dd5b3f4a65f520376fd30	228151517542604449
datadog/synthetics-private-location-worker	latest	1.72.0	1120137454	1.0 GiB	sha256:0ba2b24f1517f41f7b69b7c4aeebf87c3f6eabcb8475dcceea60bbe14ab93c76	151121674481466086
circleci/node	erbium-bullseye-browsers-legacy	17.2.0	1114560148	1.0 GiB	sha256:7206b2027364339d68bbbc6b53e07f4d9beb95a2cf7ccc644380f768777c85c5	552740256521647584
library/sonarqube	latest	26.8.0.126808-community	1082973542	1.0 GiB	sha256:4152a10d90904b97a29e82c964f7eba0c6d587ca118a0320e7dfdaf5d1a99760	1323108846282454000
cypress/browsers	latest	24.20.0	994996803	948.9 MiB	sha256:92e755e09652cd2ddebf1debae2c22bfcea51ccb3129bfd1b10ae888b7f617d6	196903671468607719
selenium/standalone-chrome	latest	null	992681462	946.7 MiB	sha256:ebb94938d57c4930ef119a91b9d8707a7b8d935a8ef1b7298dff4af7c773717b	517253577169672012
selenium/node-chrome	latest	null	992677948	946.7 MiB	sha256:bcc72fbe38ab66eb617c498ceafe8d01af2caf24de6b461b3ba68655d422f9c0	303125422726544712
rancher/rancher	latest	v2.15.1	949611610	905.6 MiB	sha256:f42f2d6aea92052379ea63c362a19ce9ae4f226dfb20f57d0d25aa4b40051b38	301732495924091770
