scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-89tdq,bare-containerd,1789247886049,1789248277994,391945,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-8mxlh,bare-containerd,1789247886049,1789248280820,394771,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-lnp5h,bare-containerd,1789247886049,1789248284485,398436,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-vdm5j,bare-containerd,1789247886052,1789248286086,400034,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-s4rrz,bare-containerd,1789247886049,1789248288060,402011,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-xwpkv,bare-containerd,1789247886052,1789248290011,403959,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-x5sp9,bare-containerd,1789247886049,1789248290373,404324,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-htqn5,bare-containerd,1789247886052,1789248291477,405425,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-8gn6t,bare-containerd,1789247886051,1789248292917,406866,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-qkwkg,bare-containerd,1789247886052,1789248295402,409350,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,bare-containerd,1789247886040,1789248295411,409371,0
pr18,recreate,riid/python:latest,riid-8gn6t,bare-containerd,1789248295426,1789248324595,29169,0
pr18,recreate,riid/python:latest,riid-lnp5h,bare-containerd,1789248295426,1789248324595,29169,0
pr18,recreate,riid/python:latest,riid-x5sp9,bare-containerd,1789248295427,1789248324595,29168,0
pr18,recreate,riid/python:latest,riid-qkwkg,bare-containerd,1789248295426,1789248324712,29286,0
pr18,recreate,riid/python:latest,riid-htqn5,bare-containerd,1789248295426,1789248325213,29787,0
pr18,recreate,riid/python:latest,riid-89tdq,bare-containerd,1789248295425,1789248325374,29949,0
pr18,recreate,riid/python:latest,riid-vdm5j,bare-containerd,1789248295426,1789248325403,29977,0
pr18,recreate,riid/python:latest,riid-xwpkv,bare-containerd,1789248295427,1789248325809,30382,0
pr18,recreate,riid/python:latest,riid-8mxlh,bare-containerd,1789248295426,1789248326375,30949,0
pr18,recreate,riid/python:latest,riid-s4rrz,bare-containerd,1789248295426,1789248326429,31003,0
pr18,recreate,riid/python:latest,AGGREGATE,bare-containerd,1789248295418,1789248326437,31019,0
pr18,recreate,riid/datadog/agent:latest,riid-8gn6t,bare-containerd,1789248326454,1789248347464,21010,0
pr18,recreate,riid/datadog/agent:latest,riid-8mxlh,bare-containerd,1789248326454,1789248348236,21782,0
pr18,recreate,riid/datadog/agent:latest,riid-89tdq,bare-containerd,1789248326453,1789248348394,21941,0
pr18,recreate,riid/datadog/agent:latest,riid-s4rrz,bare-containerd,1789248326454,1789248348398,21944,0
pr18,recreate,riid/datadog/agent:latest,riid-vdm5j,bare-containerd,1789248326453,1789248348549,22096,0
pr18,recreate,riid/datadog/agent:latest,riid-x5sp9,bare-containerd,1789248326454,1789248348717,22263,0
pr18,recreate,riid/datadog/agent:latest,riid-qkwkg,bare-containerd,1789248326453,1789248348863,22410,0
pr18,recreate,riid/datadog/agent:latest,riid-htqn5,bare-containerd,1789248326454,1789248349337,22883,0
pr18,recreate,riid/datadog/agent:latest,riid-xwpkv,bare-containerd,1789248326453,1789248349628,23175,0
pr18,recreate,riid/datadog/agent:latest,riid-lnp5h,bare-containerd,1789248326454,1789248349816,23362,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,bare-containerd,1789248326444,1789248349823,23379,0
pr18,recreate,riid/node:latest,riid-s4rrz,bare-containerd,1789248349839,1789248357053,7214,0
pr18,recreate,riid/node:latest,riid-htqn5,bare-containerd,1789248349839,1789248357469,7630,0
pr18,recreate,riid/node:latest,riid-8gn6t,bare-containerd,1789248349839,1789248357597,7758,0
pr18,recreate,riid/node:latest,riid-lnp5h,bare-containerd,1789248349839,1789248357597,7758,0
pr18,recreate,riid/node:latest,riid-x5sp9,bare-containerd,1789248349840,1789248357600,7760,0
pr18,recreate,riid/node:latest,riid-vdm5j,bare-containerd,1789248349839,1789248357656,7817,0
pr18,recreate,riid/node:latest,riid-qkwkg,bare-containerd,1789248349839,1789248357663,7824,0
pr18,recreate,riid/node:latest,riid-8mxlh,bare-containerd,1789248349839,1789248357823,7984,0
pr18,recreate,riid/node:latest,riid-89tdq,bare-containerd,1789248349839,1789248357873,8034,0
pr18,recreate,riid/node:latest,riid-xwpkv,bare-containerd,1789248349839,1789248358115,8276,0
pr18,recreate,riid/node:latest,AGGREGATE,bare-containerd,1789248349831,1789248358123,8292,0
pr18,recreate,riid/grafana/grafana:latest,riid-89tdq,bare-containerd,1789248358139,1789248394404,36265,0
pr18,recreate,riid/grafana/grafana:latest,riid-x5sp9,bare-containerd,1789248358139,1789248394406,36267,0
pr18,recreate,riid/grafana/grafana:latest,riid-8mxlh,bare-containerd,1789248358139,1789248394492,36353,0
pr18,recreate,riid/grafana/grafana:latest,riid-xwpkv,bare-containerd,1789248358139,1789248394519,36380,0
pr18,recreate,riid/grafana/grafana:latest,riid-qkwkg,bare-containerd,1789248358139,1789248394520,36381,0
pr18,recreate,riid/grafana/grafana:latest,riid-vdm5j,bare-containerd,1789248358139,1789248394625,36486,0
pr18,recreate,riid/grafana/grafana:latest,riid-8gn6t,bare-containerd,1789248358139,1789248395036,36897,0
pr18,recreate,riid/grafana/grafana:latest,riid-lnp5h,bare-containerd,1789248358138,1789248395038,36900,0
pr18,recreate,riid/grafana/grafana:latest,riid-s4rrz,bare-containerd,1789248358139,1789248395045,36906,0
pr18,recreate,riid/grafana/grafana:latest,riid-htqn5,bare-containerd,1789248358138,1789248395216,37078,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,bare-containerd,1789248358131,1789248395224,37093,0
pr18,recreate,riid/postgres:latest,riid-qkwkg,bare-containerd,1789248395243,1789248406620,11377,0
pr18,recreate,riid/postgres:latest,riid-s4rrz,bare-containerd,1789248395242,1789248406620,11378,0
pr18,recreate,riid/postgres:latest,riid-lnp5h,bare-containerd,1789248395241,1789248406652,11411,0
pr18,recreate,riid/postgres:latest,riid-x5sp9,bare-containerd,1789248395242,1789248406713,11471,0
pr18,recreate,riid/postgres:latest,riid-8gn6t,bare-containerd,1789248395241,1789248406742,11501,0
pr18,recreate,riid/postgres:latest,riid-htqn5,bare-containerd,1789248395242,1789248406841,11599,0
pr18,recreate,riid/postgres:latest,riid-8mxlh,bare-containerd,1789248395241,1789248406912,11671,0
pr18,recreate,riid/postgres:latest,riid-xwpkv,bare-containerd,1789248395243,1789248406948,11705,0
pr18,recreate,riid/postgres:latest,riid-89tdq,bare-containerd,1789248395241,1789248407029,11788,0
pr18,recreate,riid/postgres:latest,riid-vdm5j,bare-containerd,1789248395243,1789248407335,12092,0
pr18,recreate,riid/postgres:latest,AGGREGATE,bare-containerd,1789248395233,1789248407343,12110,0
