scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-t4mg8,bare-podman,1789221109689,1789221518421,408732,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-f4lcv,bare-podman,1789221109687,1789221519012,409325,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-55xt9,bare-podman,1789221109688,1789221519689,410001,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-b45jl,bare-podman,1789221109688,1789221520377,410689,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-lhlh6,bare-podman,1789221109689,1789221522067,412378,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-9pdwk,bare-podman,1789221109687,1789221522839,413152,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-d6st8,bare-podman,1789221109687,1789221523081,413394,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gprgk,bare-podman,1789221109689,1789221523409,413720,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-64zn4,bare-podman,1789221109687,1789221523723,414036,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-nxk5x,bare-podman,1789221109688,1789221524503,414815,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,bare-podman,1789221109682,1789221524509,414827,0
pr18,recreate,riid/python:latest,riid-b45jl,bare-podman,1789221524520,1789221554617,30097,0
pr18,recreate,riid/python:latest,riid-55xt9,bare-podman,1789221524519,1789221554879,30360,0
pr18,recreate,riid/python:latest,riid-f4lcv,bare-podman,1789221524520,1789221554880,30360,0
pr18,recreate,riid/python:latest,riid-t4mg8,bare-podman,1789221524521,1789221554945,30424,0
pr18,recreate,riid/python:latest,riid-9pdwk,bare-podman,1789221524520,1789221555235,30715,0
pr18,recreate,riid/python:latest,riid-lhlh6,bare-podman,1789221524519,1789221555320,30801,0
pr18,recreate,riid/python:latest,riid-gprgk,bare-podman,1789221524520,1789221555325,30805,0
pr18,recreate,riid/python:latest,riid-nxk5x,bare-podman,1789221524520,1789221555332,30812,0
pr18,recreate,riid/python:latest,riid-64zn4,bare-podman,1789221524520,1789221555532,31012,0
pr18,recreate,riid/python:latest,riid-d6st8,bare-podman,1789221524520,1789221556052,31532,0
pr18,recreate,riid/python:latest,AGGREGATE,bare-podman,1789221524514,1789221556058,31544,0
pr18,recreate,riid/datadog/agent:latest,riid-b45jl,bare-podman,1789221556069,1789221578842,22773,0
pr18,recreate,riid/datadog/agent:latest,riid-f4lcv,bare-podman,1789221556068,1789221578991,22923,0
pr18,recreate,riid/datadog/agent:latest,riid-d6st8,bare-podman,1789221556069,1789221579000,22931,0
pr18,recreate,riid/datadog/agent:latest,riid-t4mg8,bare-podman,1789221556070,1789221579054,22984,0
pr18,recreate,riid/datadog/agent:latest,riid-gprgk,bare-podman,1789221556069,1789221579309,23240,0
pr18,recreate,riid/datadog/agent:latest,riid-9pdwk,bare-podman,1789221556069,1789221579334,23265,0
pr18,recreate,riid/datadog/agent:latest,riid-55xt9,bare-podman,1789221556069,1789221579388,23319,0
pr18,recreate,riid/datadog/agent:latest,riid-64zn4,bare-podman,1789221556069,1789221579466,23397,0
pr18,recreate,riid/datadog/agent:latest,riid-lhlh6,bare-podman,1789221556068,1789221579773,23705,0
pr18,recreate,riid/datadog/agent:latest,riid-nxk5x,bare-podman,1789221556069,1789221579863,23794,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,bare-podman,1789221556063,1789221579869,23806,0
pr18,recreate,riid/node:latest,riid-f4lcv,bare-podman,1789221579880,1789221586708,6828,0
pr18,recreate,riid/node:latest,riid-b45jl,bare-podman,1789221579878,1789221586733,6855,0
pr18,recreate,riid/node:latest,riid-t4mg8,bare-podman,1789221579880,1789221586856,6976,0
pr18,recreate,riid/node:latest,riid-55xt9,bare-podman,1789221579879,1789221586911,7032,0
pr18,recreate,riid/node:latest,riid-lhlh6,bare-podman,1789221579879,1789221587037,7158,0
pr18,recreate,riid/node:latest,riid-64zn4,bare-podman,1789221579879,1789221587115,7236,0
pr18,recreate,riid/node:latest,riid-d6st8,bare-podman,1789221579880,1789221587160,7280,0
pr18,recreate,riid/node:latest,riid-gprgk,bare-podman,1789221579880,1789221587174,7294,0
pr18,recreate,riid/node:latest,riid-nxk5x,bare-podman,1789221579880,1789221587267,7387,0
pr18,recreate,riid/node:latest,riid-9pdwk,bare-podman,1789221579879,1789221587279,7400,0
pr18,recreate,riid/node:latest,AGGREGATE,bare-podman,1789221579874,1789221587283,7409,0
pr18,recreate,riid/grafana/grafana:latest,riid-b45jl,bare-podman,1789221587292,1789221621574,34282,0
pr18,recreate,riid/grafana/grafana:latest,riid-f4lcv,bare-podman,1789221587291,1789221621990,34699,0
pr18,recreate,riid/grafana/grafana:latest,riid-55xt9,bare-podman,1789221587292,1789221622076,34784,0
pr18,recreate,riid/grafana/grafana:latest,riid-d6st8,bare-podman,1789221587292,1789221622336,35044,0
pr18,recreate,riid/grafana/grafana:latest,riid-9pdwk,bare-podman,1789221587292,1789221622643,35351,0
pr18,recreate,riid/grafana/grafana:latest,riid-lhlh6,bare-podman,1789221587292,1789221622905,35613,0
pr18,recreate,riid/grafana/grafana:latest,riid-64zn4,bare-podman,1789221587292,1789221622951,35659,0
pr18,recreate,riid/grafana/grafana:latest,riid-gprgk,bare-podman,1789221587293,1789221623020,35727,0
pr18,recreate,riid/grafana/grafana:latest,riid-nxk5x,bare-podman,1789221587292,1789221623043,35751,0
pr18,recreate,riid/grafana/grafana:latest,riid-t4mg8,bare-podman,1789221587292,1789221625203,37911,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,bare-podman,1789221587287,1789221625209,37922,0
pr18,recreate,riid/postgres:latest,riid-t4mg8,bare-podman,1789221625220,1789221637623,12403,0
pr18,recreate,riid/postgres:latest,riid-f4lcv,bare-podman,1789221625219,1789221637630,12411,0
pr18,recreate,riid/postgres:latest,riid-55xt9,bare-podman,1789221625218,1789221637684,12466,0
pr18,recreate,riid/postgres:latest,riid-b45jl,bare-podman,1789221625219,1789221637702,12483,0
pr18,recreate,riid/postgres:latest,riid-lhlh6,bare-podman,1789221625219,1789221637795,12576,0
pr18,recreate,riid/postgres:latest,riid-d6st8,bare-podman,1789221625219,1789221637904,12685,0
pr18,recreate,riid/postgres:latest,riid-nxk5x,bare-podman,1789221625219,1789221637936,12717,0
pr18,recreate,riid/postgres:latest,riid-64zn4,bare-podman,1789221625219,1789221637967,12748,0
pr18,recreate,riid/postgres:latest,riid-9pdwk,bare-podman,1789221625219,1789221637971,12752,0
pr18,recreate,riid/postgres:latest,riid-gprgk,bare-podman,1789221625219,1789221637989,12770,0
pr18,recreate,riid/postgres:latest,AGGREGATE,bare-podman,1789221625213,1789221637995,12782,0
pr18,recreate,riid/mongo:latest,riid-b45jl,bare-podman,1789221638005,1789221661924,23919,0
pr18,recreate,riid/mongo:latest,riid-d6st8,bare-podman,1789221638005,1789221662011,24006,0
pr18,recreate,riid/mongo:latest,riid-f4lcv,bare-podman,1789221638005,1789221662114,24109,0
pr18,recreate,riid/mongo:latest,riid-55xt9,bare-podman,1789221638004,1789221662302,24298,0
pr18,recreate,riid/mongo:latest,riid-9pdwk,bare-podman,1789221638005,1789221662380,24375,0
pr18,recreate,riid/mongo:latest,riid-64zn4,bare-podman,1789221638004,1789221662391,24387,0
pr18,recreate,riid/mongo:latest,riid-gprgk,bare-podman,1789221638005,1789221662412,24407,0
pr18,recreate,riid/mongo:latest,riid-nxk5x,bare-podman,1789221638006,1789221662616,24610,0
pr18,recreate,riid/mongo:latest,riid-lhlh6,bare-podman,1789221638005,1789221662757,24752,0
pr18,recreate,riid/mongo:latest,riid-t4mg8,bare-podman,1789221638006,1789221662784,24778,0
pr18,recreate,riid/mongo:latest,AGGREGATE,bare-podman,1789221638000,1789221662790,24790,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-f4lcv,bare-podman,1789221662801,1789221665371,2570,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-t4mg8,bare-podman,1789221662801,1789221665437,2636,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-d6st8,bare-podman,1789221662801,1789221665465,2664,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-nxk5x,bare-podman,1789221662801,1789221665471,2670,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-b45jl,bare-podman,1789221662800,1789221665473,2673,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-55xt9,bare-podman,1789221662800,1789221665490,2690,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-lhlh6,bare-podman,1789221662800,1789221665546,2746,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-9pdwk,bare-podman,1789221662800,1789221665625,2825,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-64zn4,bare-podman,1789221662800,1789221665639,2839,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-gprgk,bare-podman,1789221662800,1789221665741,2941,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,AGGREGATE,bare-podman,1789221662795,1789221665746,2951,0
pr18,recreate,riid/mysql:latest,riid-d6st8,bare-podman,1789221665757,1789221688188,22431,0
pr18,recreate,riid/mysql:latest,riid-9pdwk,bare-podman,1789221665757,1789221688188,22431,0
pr18,recreate,riid/mysql:latest,riid-f4lcv,bare-podman,1789221665756,1789221688221,22465,0
pr18,recreate,riid/mysql:latest,riid-55xt9,bare-podman,1789221665757,1789221688379,22622,0
pr18,recreate,riid/mysql:latest,riid-t4mg8,bare-podman,1789221665758,1789221688410,22652,0
pr18,recreate,riid/mysql:latest,riid-nxk5x,bare-podman,1789221665757,1789221688429,22672,0
pr18,recreate,riid/mysql:latest,riid-b45jl,bare-podman,1789221665757,1789221688581,22824,0
pr18,recreate,riid/mysql:latest,riid-gprgk,bare-podman,1789221665756,1789221688775,23019,0
pr18,recreate,riid/mysql:latest,riid-lhlh6,bare-podman,1789221665757,1789221688869,23112,0
pr18,recreate,riid/mysql:latest,riid-64zn4,bare-podman,1789221665757,1789221688943,23186,0
pr18,recreate,riid/mysql:latest,AGGREGATE,bare-podman,1789221665751,1789221688949,23198,0
pr18,recreate,riid/sonarqube:latest,riid-f4lcv,bare-podman,1789221688960,1789221751976,63016,0
pr18,recreate,riid/sonarqube:latest,riid-t4mg8,bare-podman,1789221688961,1789221752172,63211,0
pr18,recreate,riid/sonarqube:latest,riid-b45jl,bare-podman,1789221688959,1789221752248,63289,0
pr18,recreate,riid/sonarqube:latest,riid-9pdwk,bare-podman,1789221688960,1789221752269,63309,0
pr18,recreate,riid/sonarqube:latest,riid-d6st8,bare-podman,1789221688960,1789221752354,63394,0
pr18,recreate,riid/sonarqube:latest,riid-55xt9,bare-podman,1789221688959,1789221752501,63542,0
pr18,recreate,riid/sonarqube:latest,riid-nxk5x,bare-podman,1789221688961,1789221752555,63594,0
pr18,recreate,riid/sonarqube:latest,riid-gprgk,bare-podman,1789221688960,1789221752602,63642,0
pr18,recreate,riid/sonarqube:latest,riid-lhlh6,bare-podman,1789221688960,1789221752624,63664,0
pr18,recreate,riid/sonarqube:latest,riid-64zn4,bare-podman,1789221688959,1789221752666,63707,0
pr18,recreate,riid/sonarqube:latest,AGGREGATE,bare-podman,1789221688954,1789221752672,63718,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-f4lcv,bare-podman,1789221752683,1789221769842,17159,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-b45jl,bare-podman,1789221752683,1789221770212,17529,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-nxk5x,bare-podman,1789221752683,1789221770488,17805,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-gprgk,bare-podman,1789221752682,1789221770497,17815,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-lhlh6,bare-podman,1789221752683,1789221770605,17922,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-d6st8,bare-podman,1789221752683,1789221770699,18016,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-64zn4,bare-podman,1789221752682,1789221770977,18295,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-t4mg8,bare-podman,1789221752683,1789221771013,18330,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-55xt9,bare-podman,1789221752682,1789221771071,18389,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-9pdwk,bare-podman,1789221752682,1789221771084,18402,0
pr18,recreate,riid/jenkins/jenkins:latest,AGGREGATE,bare-podman,1789221752677,1789221771089,18412,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-f4lcv,bare-podman,1789221771099,1789221779741,8642,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-9pdwk,bare-podman,1789221771100,1789221779841,8741,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-lhlh6,bare-podman,1789221771100,1789221779871,8771,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-t4mg8,bare-podman,1789221771100,1789221780103,9003,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-d6st8,bare-podman,1789221771102,1789221780138,9036,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-b45jl,bare-podman,1789221771100,1789221780176,9076,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-55xt9,bare-podman,1789221771100,1789221780355,9255,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-nxk5x,bare-podman,1789221771100,1789221780427,9327,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-64zn4,bare-podman,1789221771100,1789221780469,9369,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-gprgk,bare-podman,1789221771100,1789221780600,9500,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,AGGREGATE,bare-podman,1789221771094,1789221780606,9512,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-b45jl,bare-podman,1789221780618,1789221794847,14229,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-d6st8,bare-podman,1789221780618,1789221794885,14267,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-f4lcv,bare-podman,1789221780618,1789221794900,14282,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-nxk5x,bare-podman,1789221780618,1789221795009,14391,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-9pdwk,bare-podman,1789221780617,1789221795034,14417,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-t4mg8,bare-podman,1789221780618,1789221795080,14462,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-gprgk,bare-podman,1789221780618,1789221795100,14482,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-55xt9,bare-podman,1789221780618,1789221795482,14864,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-64zn4,bare-podman,1789221780616,1789221795730,15114,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-lhlh6,bare-podman,1789221780618,1789221795824,15206,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,AGGREGATE,bare-podman,1789221780612,1789221795830,15218,0
pr18,recreate,riid/apache/airflow:latest,riid-b45jl,bare-podman,1789221795841,1789221846261,50420,0
pr18,recreate,riid/apache/airflow:latest,riid-d6st8,bare-podman,1789221795841,1789221846405,50564,0
pr18,recreate,riid/apache/airflow:latest,riid-nxk5x,bare-podman,1789221795842,1789221847008,51166,0
pr18,recreate,riid/apache/airflow:latest,riid-t4mg8,bare-podman,1789221795842,1789221847149,51307,0
pr18,recreate,riid/apache/airflow:latest,riid-lhlh6,bare-podman,1789221795841,1789221847799,51958,0
pr18,recreate,riid/apache/airflow:latest,riid-55xt9,bare-podman,1789221795841,1789221847871,52030,0
pr18,recreate,riid/apache/airflow:latest,riid-f4lcv,bare-podman,1789221795842,1789221848298,52456,0
pr18,recreate,riid/apache/airflow:latest,riid-9pdwk,bare-podman,1789221795841,1789221848365,52524,0
pr18,recreate,riid/apache/airflow:latest,riid-gprgk,bare-podman,1789221795842,1789221848559,52717,0
pr18,recreate,riid/apache/airflow:latest,riid-64zn4,bare-podman,1789221795841,1789221848988,53147,0
pr18,recreate,riid/apache/airflow:latest,AGGREGATE,bare-podman,1789221795836,1789221848994,53158,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-b45jl,bare-podman,1789221849005,1789221906015,57010,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-9pdwk,bare-podman,1789221849005,1789221906109,57104,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-d6st8,bare-podman,1789221849005,1789221906177,57172,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-f4lcv,bare-podman,1789221849005,1789221906288,57283,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-t4mg8,bare-podman,1789221849006,1789221906358,57352,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-lhlh6,bare-podman,1789221849005,1789221906363,57358,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-nxk5x,bare-podman,1789221849005,1789221906769,57764,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-55xt9,bare-podman,1789221849005,1789221906874,57869,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-gprgk,bare-podman,1789221849005,1789221906927,57922,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-64zn4,bare-podman,1789221849005,1789221906945,57940,0
pr18,recreate,riid/elasticsearch:9.5.2,AGGREGATE,bare-podman,1789221848999,1789221906951,57952,0
pr18,recreate,riid/nginx:latest,riid-t4mg8,bare-podman,1789221906962,1789221911438,4476,0
pr18,recreate,riid/nginx:latest,riid-gprgk,bare-podman,1789221906961,1789221911603,4642,0
pr18,recreate,riid/nginx:latest,riid-b45jl,bare-podman,1789221906961,1789221911865,4904,0
pr18,recreate,riid/nginx:latest,riid-9pdwk,bare-podman,1789221906961,1789221911889,4928,0
pr18,recreate,riid/nginx:latest,riid-d6st8,bare-podman,1789221906961,1789221911916,4955,0
pr18,recreate,riid/nginx:latest,riid-f4lcv,bare-podman,1789221906961,1789221911927,4966,0
pr18,recreate,riid/nginx:latest,riid-lhlh6,bare-podman,1789221906962,1789221911954,4992,0
pr18,recreate,riid/nginx:latest,riid-55xt9,bare-podman,1789221906961,1789221912124,5163,0
pr18,recreate,riid/nginx:latest,riid-64zn4,bare-podman,1789221906961,1789221912205,5244,0
pr18,recreate,riid/nginx:latest,riid-nxk5x,bare-podman,1789221906962,1789221912255,5293,0
pr18,recreate,riid/nginx:latest,AGGREGATE,bare-podman,1789221906956,1789221912261,5305,0
pr18,recreate,riid/golang:latest,riid-b45jl,bare-podman,1789221912272,1789221928386,16114,0
pr18,recreate,riid/golang:latest,riid-9pdwk,bare-podman,1789221912271,1789221928615,16344,0
pr18,recreate,riid/golang:latest,riid-f4lcv,bare-podman,1789221912272,1789221928780,16508,0
pr18,recreate,riid/golang:latest,riid-55xt9,bare-podman,1789221912271,1789221928924,16653,0
