scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-nlf2p,bare-porto,1789306125722,1789306532291,406569,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-clhz6,bare-porto,1789306125722,1789306532598,406876,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-6wwst,bare-porto,1789306125721,1789306532905,407184,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-h8ndm,bare-porto,1789306125722,1789306533218,407496,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-h29mr,bare-porto,1789306125722,1789306534134,408412,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-sft7x,bare-porto,1789306125722,1789306534545,408823,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-76h9k,bare-porto,1789306125720,1789306535933,410213,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-8jvtn,bare-porto,1789306125721,1789306536415,410694,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-qdwsq,bare-porto,1789306125722,1789306536982,411260,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-zcgt7,bare-porto,1789306125722,1789306538719,412997,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,bare-porto,1789306125716,1789306538724,413008,0
pr18,recreate,riid/python:latest,riid-nlf2p,bare-porto,1789306538735,1789306571820,33085,0
pr18,recreate,riid/python:latest,riid-clhz6,bare-porto,1789306538735,1789306571821,33086,0
pr18,recreate,riid/python:latest,riid-h29mr,bare-porto,1789306538735,1789306571864,33129,0
pr18,recreate,riid/python:latest,riid-6wwst,bare-porto,1789306538735,1789306571871,33136,0
pr18,recreate,riid/python:latest,riid-h8ndm,bare-porto,1789306538735,1789306571907,33172,0
pr18,recreate,riid/python:latest,riid-sft7x,bare-porto,1789306538735,1789306571998,33263,0
pr18,recreate,riid/python:latest,riid-zcgt7,bare-porto,1789306538735,1789306572028,33293,0
pr18,recreate,riid/python:latest,riid-76h9k,bare-porto,1789306538735,1789306572046,33311,0
pr18,recreate,riid/python:latest,riid-8jvtn,bare-porto,1789306538735,1789306572094,33359,0
pr18,recreate,riid/python:latest,riid-qdwsq,bare-porto,1789306538735,1789306572177,33442,0
pr18,recreate,riid/python:latest,AGGREGATE,bare-porto,1789306538729,1789306572183,33454,0
pr18,recreate,riid/datadog/agent:latest,riid-h29mr,bare-porto,1789306572194,1789306595985,23791,0
pr18,recreate,riid/datadog/agent:latest,riid-sft7x,bare-porto,1789306572193,1789306596001,23808,0
pr18,recreate,riid/datadog/agent:latest,riid-nlf2p,bare-porto,1789306572194,1789306596022,23828,0
pr18,recreate,riid/datadog/agent:latest,riid-clhz6,bare-porto,1789306572194,1789306596115,23921,0
pr18,recreate,riid/datadog/agent:latest,riid-h8ndm,bare-porto,1789306572194,1789306596206,24012,0
pr18,recreate,riid/datadog/agent:latest,riid-6wwst,bare-porto,1789306572194,1789306596304,24110,0
pr18,recreate,riid/datadog/agent:latest,riid-qdwsq,bare-porto,1789306572195,1789306596377,24182,0
pr18,recreate,riid/datadog/agent:latest,riid-zcgt7,bare-porto,1789306572195,1789306596465,24270,0
pr18,recreate,riid/datadog/agent:latest,riid-76h9k,bare-porto,1789306572193,1789306596487,24294,0
pr18,recreate,riid/datadog/agent:latest,riid-8jvtn,bare-porto,1789306572194,1789306596726,24532,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,bare-porto,1789306572188,1789306596732,24544,0
pr18,recreate,riid/node:latest,riid-sft7x,bare-porto,1789306596742,1789306602241,5499,0
pr18,recreate,riid/node:latest,riid-h8ndm,bare-porto,1789306596742,1789306602349,5607,0
pr18,recreate,riid/node:latest,riid-nlf2p,bare-porto,1789306596741,1789306602356,5615,0
pr18,recreate,riid/node:latest,riid-clhz6,bare-porto,1789306596741,1789306602361,5620,0
pr18,recreate,riid/node:latest,riid-6wwst,bare-porto,1789306596742,1789306602459,5717,0
