scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-cmp5j,dfinit-containerd,1789251611070,1789251738301,127231,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-6dcfg,dfinit-containerd,1789251611069,1789251739210,128141,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-xmgnr,dfinit-containerd,1789251611072,1789251741588,130516,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-kmrbr,dfinit-containerd,1789251611069,1789251741984,130915,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-r85gx,dfinit-containerd,1789251611070,1789251742021,130951,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-j2zfn,dfinit-containerd,1789251611069,1789251742119,131050,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-t7p4g,dfinit-containerd,1789251611070,1789251743512,132442,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-9d6p4,dfinit-containerd,1789251611069,1789251747995,136926,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-4mtg7,dfinit-containerd,1789251611069,1789251750280,139211,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-67cbt,dfinit-containerd,1789251611069,1789251765371,154302,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,dfinit-containerd,1789251611060,1789251765380,154320,0
pr18,recreate,riid/python:latest,riid-t7p4g,dfinit-containerd,1789251765397,1789251778570,13173,0
pr18,recreate,riid/python:latest,riid-xmgnr,dfinit-containerd,1789251765396,1789251778707,13311,0
pr18,recreate,riid/python:latest,riid-67cbt,dfinit-containerd,1789251765395,1789251778843,13448,0
pr18,recreate,riid/python:latest,riid-kmrbr,dfinit-containerd,1789251765396,1789251778863,13467,0
pr18,recreate,riid/python:latest,riid-r85gx,dfinit-containerd,1789251765396,1789251778889,13493,0
pr18,recreate,riid/python:latest,riid-6dcfg,dfinit-containerd,1789251765396,1789251779115,13719,0
pr18,recreate,riid/python:latest,riid-cmp5j,dfinit-containerd,1789251765396,1789251779137,13741,0
pr18,recreate,riid/python:latest,riid-9d6p4,dfinit-containerd,1789251765396,1789251779249,13853,0
pr18,recreate,riid/python:latest,riid-j2zfn,dfinit-containerd,1789251765396,1789251779755,14359,0
pr18,recreate,riid/python:latest,riid-4mtg7,dfinit-containerd,1789251765395,1789251780705,15310,0
