scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-5cxnr,dfinit-podman,1789233693589,1789233806736,113147,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-56m79,dfinit-podman,1789233693589,1789233809888,116299,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-bzbgm,dfinit-podman,1789233693589,1789233811055,117466,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-5nhrm,dfinit-podman,1789233693589,1789233812072,118483,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-pvt96,dfinit-podman,1789233693590,1789233812743,119153,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-dnkfh,dfinit-podman,1789233693589,1789233813807,120218,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-krbwf,dfinit-podman,1789233693589,1789233814083,120494,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-z58c6,dfinit-podman,1789233693590,1789233816055,122465,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-mczdj,dfinit-podman,1789233693590,1789233822020,128430,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-js6sz,dfinit-podman,1789233693589,1789233825531,131942,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,dfinit-podman,1789233693583,1789233825537,131954,0
pr18,recreate,riid/python:latest,riid-5nhrm,dfinit-podman,1789233825548,1789233842938,17390,0
pr18,recreate,riid/python:latest,riid-krbwf,dfinit-podman,1789233825548,1789233843269,17721,0
pr18,recreate,riid/python:latest,riid-5cxnr,dfinit-podman,1789233825548,1789233843896,18348,0
pr18,recreate,riid/python:latest,riid-pvt96,dfinit-podman,1789233825548,1789233844065,18517,0
pr18,recreate,riid/python:latest,riid-bzbgm,dfinit-podman,1789233825547,1789233844461,18914,0
pr18,recreate,riid/python:latest,riid-z58c6,dfinit-podman,1789233825548,1789233844510,18962,0
pr18,recreate,riid/python:latest,riid-mczdj,dfinit-podman,1789233825549,1789233844538,18989,0
pr18,recreate,riid/python:latest,riid-js6sz,dfinit-podman,1789233825548,1789233845158,19610,0
pr18,recreate,riid/python:latest,riid-dnkfh,dfinit-podman,1789233825548,1789233845396,19848,0
pr18,recreate,riid/python:latest,riid-56m79,dfinit-podman,1789233825547,1789233980901,155354,0
pr18,recreate,riid/python:latest,AGGREGATE,dfinit-podman,1789233825542,1789233980907,155365,0
pr18,recreate,riid/datadog/agent:latest,riid-5cxnr,dfinit-podman,1789233980918,1789233996314,15396,0
