scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-8p5tk,riid-containerd-noprefix,1789252753404,1789252981869,228465,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-2dsvv,riid-containerd-noprefix,1789252753404,1789252987158,233754,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gg5p5,riid-containerd-noprefix,1789252753403,1789252988690,235287,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-7ft2t,riid-containerd-noprefix,1789252753403,1789252988880,235477,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-rjhqq,riid-containerd-noprefix,1789252753405,1789252995898,242493,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-66qlj,riid-containerd-noprefix,1789252753404,1789252995898,242494,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-jpw7l,riid-containerd-noprefix,1789252753404,1789252996663,243259,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-tl5n6,riid-containerd-noprefix,1789252753405,1789253002463,249058,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-rcqwk,riid-containerd-noprefix,1789252753404,1789253031451,278047,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-jdjhp,riid-containerd-noprefix,1789252753404,1789253038166,284762,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,riid-containerd-noprefix,1789252753396,1789253038176,284780,0
pr18,recreate,riid/python:latest,riid-2dsvv,riid-containerd-noprefix,1789253038196,1789253057702,19506,0
pr18,recreate,riid/python:latest,riid-7ft2t,riid-containerd-noprefix,1789253038196,1789253058103,19907,0
pr18,recreate,riid/python:latest,riid-8p5tk,riid-containerd-noprefix,1789253038196,1789253058149,19953,0
pr18,recreate,riid/python:latest,riid-gg5p5,riid-containerd-noprefix,1789253038195,1789253058373,20178,0
pr18,recreate,riid/python:latest,riid-rjhqq,riid-containerd-noprefix,1789253038196,1789253058629,20433,0
