scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-w6bc6,riid-containerd,1789254921414,1789255131040,209626,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-fxgbn,riid-containerd,1789254921413,1789255146887,225474,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gm6kp,riid-containerd,1789254921413,1789255149304,227891,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-vfb9n,riid-containerd,1789254921414,1789255150690,229276,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-qrn5b,riid-containerd,1789254921415,1789255154414,232999,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-69qdr,riid-containerd,1789254921413,1789255155701,234288,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-bbr5n,riid-containerd,1789254921413,1789255160111,238698,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-6jch9,riid-containerd,1789254921414,1789255166061,244647,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-f9kmx,riid-containerd,1789254921414,1789255167513,246099,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-42j5f,riid-containerd,1789254921413,1789255184197,262784,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,riid-containerd,1789254921405,1789255184208,262803,0
pr18,recreate,riid/python:latest,riid-w6bc6,riid-containerd,1789255184230,1789255203289,19059,0
pr18,recreate,riid/python:latest,riid-vfb9n,riid-containerd,1789255184229,1789255203491,19262,0
pr18,recreate,riid/python:latest,riid-gm6kp,riid-containerd,1789255184229,1789255203585,19356,0
pr18,recreate,riid/python:latest,riid-bbr5n,riid-containerd,1789255184228,1789255203748,19520,0
pr18,recreate,riid/python:latest,riid-fxgbn,riid-containerd,1789255184228,1789255204039,19811,0
pr18,recreate,riid/python:latest,riid-f9kmx,riid-containerd,1789255184228,1789255204283,20055,0
pr18,recreate,riid/python:latest,riid-qrn5b,riid-containerd,1789255184229,1789255204612,20383,0
pr18,recreate,riid/python:latest,riid-69qdr,riid-containerd,1789255184227,1789255206328,22101,0
pr18,recreate,riid/python:latest,riid-6jch9,riid-containerd,1789255184228,1789255206942,22714,0
pr18,recreate,riid/python:latest,riid-42j5f,riid-containerd,1789255184227,1789255208821,24594,0
pr18,recreate,riid/python:latest,AGGREGATE,riid-containerd,1789255184218,1789255208832,24614,0
pr18,recreate,riid/datadog/agent:latest,riid-gm6kp,riid-containerd,1789255208851,1789255223553,14702,0
pr18,recreate,riid/datadog/agent:latest,riid-qrn5b,riid-containerd,1789255208850,1789255223639,14789,0
pr18,recreate,riid/datadog/agent:latest,riid-w6bc6,riid-containerd,1789255208851,1789255223655,14804,0
pr18,recreate,riid/datadog/agent:latest,riid-bbr5n,riid-containerd,1789255208851,1789255223841,14990,0
pr18,recreate,riid/datadog/agent:latest,riid-vfb9n,riid-containerd,1789255208852,1789255224029,15177,0
pr18,recreate,riid/datadog/agent:latest,riid-fxgbn,riid-containerd,1789255208850,1789255224276,15426,0
pr18,recreate,riid/datadog/agent:latest,riid-6jch9,riid-containerd,1789255208850,1789255225270,16420,0
pr18,recreate,riid/datadog/agent:latest,riid-f9kmx,riid-containerd,1789255208851,1789255225501,16650,0
pr18,recreate,riid/datadog/agent:latest,riid-69qdr,riid-containerd,1789255208850,1789255225898,17048,0
pr18,recreate,riid/datadog/agent:latest,riid-42j5f,riid-containerd,1789255208850,1789255228561,19711,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,riid-containerd,1789255208842,1789255228570,19728,0
pr18,recreate,riid/node:latest,riid-w6bc6,riid-containerd,1789255228590,1789255238059,9469,0
pr18,recreate,riid/node:latest,riid-f9kmx,riid-containerd,1789255228588,1789255239207,10619,0
pr18,recreate,riid/node:latest,riid-bbr5n,riid-containerd,1789255228589,1789255239652,11063,0
pr18,recreate,riid/node:latest,riid-qrn5b,riid-containerd,1789255228589,1789255239733,11144,0
pr18,recreate,riid/node:latest,riid-vfb9n,riid-containerd,1789255228589,1789255239818,11229,0
pr18,recreate,riid/node:latest,riid-fxgbn,riid-containerd,1789255228588,1789255239895,11307,0
pr18,recreate,riid/node:latest,riid-gm6kp,riid-containerd,1789255228588,1789255240409,11821,0
pr18,recreate,riid/node:latest,riid-69qdr,riid-containerd,1789255228588,1789255240747,12159,0
pr18,recreate,riid/node:latest,riid-6jch9,riid-containerd,1789255228588,1789255240782,12194,0
pr18,recreate,riid/node:latest,riid-42j5f,riid-containerd,1789255228587,1789255242494,13907,0
pr18,recreate,riid/node:latest,AGGREGATE,riid-containerd,1789255228578,1789255242502,13924,0
pr18,recreate,riid/grafana/grafana:latest,riid-fxgbn,riid-containerd,1789255242519,1789255263944,21425,0
pr18,recreate,riid/grafana/grafana:latest,riid-vfb9n,riid-containerd,1789255242520,1789255264471,21951,0
pr18,recreate,riid/grafana/grafana:latest,riid-6jch9,riid-containerd,1789255242520,1789255264511,21991,0
pr18,recreate,riid/grafana/grafana:latest,riid-bbr5n,riid-containerd,1789255242519,1789255264514,21995,0
pr18,recreate,riid/grafana/grafana:latest,riid-qrn5b,riid-containerd,1789255242521,1789255264688,22167,0
pr18,recreate,riid/grafana/grafana:latest,riid-gm6kp,riid-containerd,1789255242521,1789255264769,22248,0
pr18,recreate,riid/grafana/grafana:latest,riid-w6bc6,riid-containerd,1789255242520,1789255264926,22406,0
pr18,recreate,riid/grafana/grafana:latest,riid-f9kmx,riid-containerd,1789255242519,1789255265666,23147,0
pr18,recreate,riid/grafana/grafana:latest,riid-69qdr,riid-containerd,1789255242519,1789255265734,23215,0
pr18,recreate,riid/grafana/grafana:latest,riid-42j5f,riid-containerd,1789255242519,1789255269179,26660,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,riid-containerd,1789255242511,1789255269188,26677,0
pr18,recreate,riid/postgres:latest,riid-vfb9n,riid-containerd,1789255269205,1789255278884,9679,0
pr18,recreate,riid/postgres:latest,riid-w6bc6,riid-containerd,1789255269205,1789255279740,10535,0
pr18,recreate,riid/postgres:latest,riid-6jch9,riid-containerd,1789255269204,1789255279802,10598,0
pr18,recreate,riid/postgres:latest,riid-fxgbn,riid-containerd,1789255269204,1789255279811,10607,0
pr18,recreate,riid/postgres:latest,riid-bbr5n,riid-containerd,1789255269204,1789255280003,10799,0
pr18,recreate,riid/postgres:latest,riid-qrn5b,riid-containerd,1789255269206,1789255280168,10962,0
pr18,recreate,riid/postgres:latest,riid-f9kmx,riid-containerd,1789255269204,1789255280244,11040,0
pr18,recreate,riid/postgres:latest,riid-69qdr,riid-containerd,1789255269204,1789255280468,11264,0
pr18,recreate,riid/postgres:latest,riid-gm6kp,riid-containerd,1789255269204,1789255280557,11353,0
pr18,recreate,riid/postgres:latest,riid-42j5f,riid-containerd,1789255269204,1789255281427,12223,0
pr18,recreate,riid/postgres:latest,AGGREGATE,riid-containerd,1789255269196,1789255281435,12239,0
pr18,recreate,riid/mongo:latest,riid-qrn5b,riid-containerd,1789255281453,1789255295592,14139,0
pr18,recreate,riid/mongo:latest,riid-w6bc6,riid-containerd,1789255281453,1789255295792,14339,0
pr18,recreate,riid/mongo:latest,riid-6jch9,riid-containerd,1789255281453,1789255295837,14384,0
