scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-dkn5w,riid-porto,1789309492650,1789309648692,156042,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-8q4dw,riid-porto,1789309492650,1789309653087,160437,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-mlmw7,riid-porto,1789309492651,1789309653088,160437,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-ztqxn,riid-porto,1789309492651,1789309657352,164701,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-c6n52,riid-porto,1789309492650,1789309658331,165681,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gv2bx,riid-porto,1789309492650,1789309664980,172330,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-hns2k,riid-porto,1789309492651,1789309667343,174692,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-hnvj7,riid-porto,1789309492651,1789309668928,176277,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gws98,riid-porto,1789309492650,1789309673104,180454,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-rrxlm,riid-porto,1789309492651,1789309687804,195153,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,riid-porto,1789309492645,1789309687809,195164,0
pr18,recreate,riid/python:latest,riid-8q4dw,riid-porto,1789309687820,1789309701013,13193,0
pr18,recreate,riid/python:latest,riid-dkn5w,riid-porto,1789309687820,1789309701601,13781,0
pr18,recreate,riid/python:latest,riid-gv2bx,riid-porto,1789309687820,1789309701603,13783,0
pr18,recreate,riid/python:latest,riid-hns2k,riid-porto,1789309687820,1789309701618,13798,0
pr18,recreate,riid/python:latest,riid-c6n52,riid-porto,1789309687820,1789309701682,13862,0
pr18,recreate,riid/python:latest,riid-mlmw7,riid-porto,1789309687821,1789309702005,14184,0
pr18,recreate,riid/python:latest,riid-gws98,riid-porto,1789309687820,1789309702006,14186,0
pr18,recreate,riid/python:latest,riid-rrxlm,riid-porto,1789309687821,1789309702006,14185,0
pr18,recreate,riid/python:latest,riid-hnvj7,riid-porto,1789309687821,1789309702811,14990,0
pr18,recreate,riid/python:latest,riid-ztqxn,riid-porto,1789309687821,1789309702814,14993,0
pr18,recreate,riid/python:latest,AGGREGATE,riid-porto,1789309687815,1789309702819,15004,0
pr18,recreate,riid/datadog/agent:latest,riid-hnvj7,riid-porto,1789309702830,1789309715456,12626,0
pr18,recreate,riid/datadog/agent:latest,riid-gws98,riid-porto,1789309702829,1789309715569,12740,0
pr18,recreate,riid/datadog/agent:latest,riid-8q4dw,riid-porto,1789309702829,1789309715675,12846,0
pr18,recreate,riid/datadog/agent:latest,riid-gv2bx,riid-porto,1789309702830,1789309715808,12978,0
pr18,recreate,riid/datadog/agent:latest,riid-ztqxn,riid-porto,1789309702830,1789309716224,13394,0
pr18,recreate,riid/datadog/agent:latest,riid-dkn5w,riid-porto,1789309702829,1789309716323,13494,0
pr18,recreate,riid/datadog/agent:latest,riid-mlmw7,riid-porto,1789309702830,1789309716613,13783,0
pr18,recreate,riid/datadog/agent:latest,riid-rrxlm,riid-porto,1789309702830,1789309716736,13906,0
pr18,recreate,riid/datadog/agent:latest,riid-c6n52,riid-porto,1789309702829,1789309716782,13953,0
pr18,recreate,riid/datadog/agent:latest,riid-hns2k,riid-porto,1789309702830,1789309717105,14275,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,riid-porto,1789309702824,1789309717111,14287,0
pr18,recreate,riid/node:latest,riid-dkn5w,riid-porto,1789309717122,1789309721234,4112,0
pr18,recreate,riid/node:latest,riid-gws98,riid-porto,1789309717122,1789309721536,4414,0
pr18,recreate,riid/node:latest,riid-mlmw7,riid-porto,1789309717123,1789309721542,4419,0
pr18,recreate,riid/node:latest,riid-hnvj7,riid-porto,1789309717123,1789309721648,4525,0
pr18,recreate,riid/node:latest,riid-hns2k,riid-porto,1789309717123,1789309722110,4987,0
pr18,recreate,riid/node:latest,riid-gv2bx,riid-porto,1789309717123,1789309722110,4987,0
pr18,recreate,riid/node:latest,riid-8q4dw,riid-porto,1789309717122,1789309722111,4989,0
pr18,recreate,riid/node:latest,riid-c6n52,riid-porto,1789309717122,1789309722187,5065,0
pr18,recreate,riid/node:latest,riid-rrxlm,riid-porto,1789309717123,1789309722316,5193,0
pr18,recreate,riid/node:latest,riid-ztqxn,riid-porto,1789309717124,1789309722440,5316,0
pr18,recreate,riid/node:latest,AGGREGATE,riid-porto,1789309717117,1789309722445,5328,0
pr18,recreate,riid/grafana/grafana:latest,riid-hns2k,riid-porto,1789309722457,1789309739416,16959,0
pr18,recreate,riid/grafana/grafana:latest,riid-8q4dw,riid-porto,1789309722456,1789309739480,17024,0
pr18,recreate,riid/grafana/grafana:latest,riid-gws98,riid-porto,1789309722457,1789309739796,17339,0
pr18,recreate,riid/grafana/grafana:latest,riid-dkn5w,riid-porto,1789309722456,1789309739856,17400,0
pr18,recreate,riid/grafana/grafana:latest,riid-hnvj7,riid-porto,1789309722457,1789309739978,17521,0
pr18,recreate,riid/grafana/grafana:latest,riid-gv2bx,riid-porto,1789309722456,1789309740025,17569,0
pr18,recreate,riid/grafana/grafana:latest,riid-ztqxn,riid-porto,1789309722457,1789309740213,17756,0
pr18,recreate,riid/grafana/grafana:latest,riid-mlmw7,riid-porto,1789309722458,1789309740641,18183,0
pr18,recreate,riid/grafana/grafana:latest,riid-c6n52,riid-porto,1789309722456,1789309740641,18185,0
pr18,recreate,riid/grafana/grafana:latest,riid-rrxlm,riid-porto,1789309722457,1789309740800,18343,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,riid-porto,1789309722451,1789309740805,18354,0
pr18,recreate,riid/postgres:latest,riid-hnvj7,riid-porto,1789309740816,1789309747769,6953,0
pr18,recreate,riid/postgres:latest,riid-ztqxn,riid-porto,1789309740816,1789309747821,7005,0
pr18,recreate,riid/postgres:latest,riid-c6n52,riid-porto,1789309740815,1789309747838,7023,0
pr18,recreate,riid/postgres:latest,riid-hns2k,riid-porto,1789309740815,1789309748121,7306,0
pr18,recreate,riid/postgres:latest,riid-mlmw7,riid-porto,1789309740816,1789309748198,7382,0
pr18,recreate,riid/postgres:latest,riid-rrxlm,riid-porto,1789309740816,1789309748224,7408,0
pr18,recreate,riid/postgres:latest,riid-8q4dw,riid-porto,1789309740815,1789309748314,7499,0
pr18,recreate,riid/postgres:latest,riid-dkn5w,riid-porto,1789309740815,1789309748380,7565,0
pr18,recreate,riid/postgres:latest,riid-gv2bx,riid-porto,1789309740815,1789309748474,7659,0
pr18,recreate,riid/postgres:latest,riid-gws98,riid-porto,1789309740814,1789309748705,7891,0
pr18,recreate,riid/postgres:latest,AGGREGATE,riid-porto,1789309740810,1789309748710,7900,0
pr18,recreate,riid/mongo:latest,riid-hnvj7,riid-porto,1789309748721,1789309761123,12402,0
pr18,recreate,riid/mongo:latest,riid-c6n52,riid-porto,1789309748720,1789309761329,12609,0
pr18,recreate,riid/mongo:latest,riid-gws98,riid-porto,1789309748720,1789309761637,12917,0
pr18,recreate,riid/mongo:latest,riid-gv2bx,riid-porto,1789309748720,1789309761637,12917,0
pr18,recreate,riid/mongo:latest,riid-8q4dw,riid-porto,1789309748720,1789309761638,12918,0
pr18,recreate,riid/mongo:latest,riid-dkn5w,riid-porto,1789309748720,1789309761693,12973,0
pr18,recreate,riid/mongo:latest,riid-rrxlm,riid-porto,1789309748721,1789309761778,13057,0
pr18,recreate,riid/mongo:latest,riid-ztqxn,riid-porto,1789309748721,1789309761879,13158,0
pr18,recreate,riid/mongo:latest,riid-mlmw7,riid-porto,1789309748721,1789309761929,13208,0
pr18,recreate,riid/mongo:latest,riid-hns2k,riid-porto,1789309748720,1789309762556,13836,0
pr18,recreate,riid/mongo:latest,AGGREGATE,riid-porto,1789309748714,1789309762562,13848,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-hns2k,riid-porto,1789309762573,1789309764417,1844,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-8q4dw,riid-porto,1789309762573,1789309765568,2995,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-gv2bx,riid-porto,1789309762572,1789309765595,3023,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-ztqxn,riid-porto,1789309762573,1789309765834,3261,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-mlmw7,riid-porto,1789309762573,1789309765834,3261,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-gws98,riid-porto,1789309762573,1789309765913,3340,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-hnvj7,riid-porto,1789309762573,1789309766091,3518,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-dkn5w,riid-porto,1789309762573,1789309766114,3541,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-c6n52,riid-porto,1789309762573,1789309766348,3775,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-rrxlm,riid-porto,1789309762574,1789309766348,3774,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,AGGREGATE,riid-porto,1789309762567,1789309766353,3786,0
pr18,recreate,riid/mysql:latest,riid-hnvj7,riid-porto,1789309766363,1789309776278,9915,0
pr18,recreate,riid/mysql:latest,riid-gv2bx,riid-porto,1789309766363,1789309776383,10020,0
pr18,recreate,riid/mysql:latest,riid-ztqxn,riid-porto,1789309766364,1789309776753,10389,0
pr18,recreate,riid/mysql:latest,riid-8q4dw,riid-porto,1789309766363,1789309776811,10448,0
pr18,recreate,riid/mysql:latest,riid-mlmw7,riid-porto,1789309766364,1789309776815,10451,0
pr18,recreate,riid/mysql:latest,riid-gws98,riid-porto,1789309766363,1789309776944,10581,0
pr18,recreate,riid/mysql:latest,riid-dkn5w,riid-porto,1789309766363,1789309777004,10641,0
pr18,recreate,riid/mysql:latest,riid-rrxlm,riid-porto,1789309766364,1789309777207,10843,0
pr18,recreate,riid/mysql:latest,riid-hns2k,riid-porto,1789309766362,1789309777299,10937,0
pr18,recreate,riid/mysql:latest,riid-c6n52,riid-porto,1789309766363,1789309777344,10981,0
pr18,recreate,riid/mysql:latest,AGGREGATE,riid-porto,1789309766358,1789309777349,10991,0
pr18,recreate,riid/sonarqube:latest,riid-dkn5w,riid-porto,1789309777360,1789309801885,24525,0
pr18,recreate,riid/sonarqube:latest,riid-gws98,riid-porto,1789309777360,1789309803175,25815,0
pr18,recreate,riid/sonarqube:latest,riid-gv2bx,riid-porto,1789309777360,1789309803214,25854,0
pr18,recreate,riid/sonarqube:latest,riid-hnvj7,riid-porto,1789309777361,1789309803272,25911,0
pr18,recreate,riid/sonarqube:latest,riid-8q4dw,riid-porto,1789309777360,1789309803723,26363,0
pr18,recreate,riid/sonarqube:latest,riid-ztqxn,riid-porto,1789309777361,1789309803885,26524,0
pr18,recreate,riid/sonarqube:latest,riid-rrxlm,riid-porto,1789309777361,1789309804436,27075,0
pr18,recreate,riid/sonarqube:latest,riid-c6n52,riid-porto,1789309777360,1789309805280,27920,0
pr18,recreate,riid/sonarqube:latest,riid-hns2k,riid-porto,1789309777360,1789309805378,28018,0
pr18,recreate,riid/sonarqube:latest,riid-mlmw7,riid-porto,1789309777361,1789309805424,28063,0
pr18,recreate,riid/sonarqube:latest,AGGREGATE,riid-porto,1789309777355,1789309805429,28074,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-dkn5w,riid-porto,1789309805438,1789309813759,8321,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-hns2k,riid-porto,1789309805439,1789309813949,8510,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-hnvj7,riid-porto,1789309805438,1789309814064,8626,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-gv2bx,riid-porto,1789309805438,1789309814209,8771,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-8q4dw,riid-porto,1789309805438,1789309814293,8855,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-ztqxn,riid-porto,1789309805439,1789309814325,8886,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-rrxlm,riid-porto,1789309805439,1789309814337,8898,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-gws98,riid-porto,1789309805439,1789309814365,8926,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-mlmw7,riid-porto,1789309805438,1789309814496,9058,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-c6n52,riid-porto,1789309805438,1789309814898,9460,0
